Id,User,X0,Y0,Z0,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,Gesture
0,cmario,0.739124298,0.446816891,-6.13e-07,0.71060133,0.544447005,-0.041617595,0.659396112,0.63808322,-0.066965386,0.621649146,0.725028455,-0.091192424,0.610328436,0.805355728,-0.108117834,0.565929711,0.561968744,-0.023620766,0.52175492,0.555069506,-0.065256424,0.586958945,0.544426501,-0.082681842,0.604280114,0.545862854,-0.090034969,0.559035718,0.48276031,-0.021299874,0.515492618,0.484230489,-0.068180561,0.589680135,0.482788026,-0.075556904,0.596412778,0.486479431,-0.071405269,0.560646474,0.407622516,-0.026821949,0.520972967,0.405298352,-0.071380556,0.586881876,0.411699206,-0.057056043,0.594626307,0.416214347,-0.037482776,0.566965222,0.339021325,-0.035820086,0.530639529,0.335079074,-0.052617889,0.579248726,0.349992454,-0.035011858,0.59303689,0.355995774,-0.0179889,RIGHT_THUMB_DOWN
1,cmario,0.809496701,0.425733298,-7.92e-07,0.783339381,0.517741024,-0.055949625,0.72730273,0.608769178,-0.089516722,0.686062217,0.688371122,-0.115958422,0.654903352,0.761213303,-0.132778764,0.57540524,0.509862125,-0.053204976,0.635105312,0.52583921,-0.096131049,0.69003123,0.523525357,-0.115922585,0.676460862,0.516724408,-0.129530817,0.56679213,0.424024284,-0.048243269,0.647060275,0.446807027,-0.095844992,0.706036687,0.45624274,-0.104782626,0.692082703,0.449854076,-0.107167803,0.584352672,0.346724212,-0.050544236,0.663390756,0.371179283,-0.097953282,0.713580787,0.38878718,-0.088737339,0.699754,0.386125088,-0.07767611,0.612429023,0.279150963,-0.059087992,0.674124002,0.294658542,-0.09034726,0.715448797,0.324120224,-0.088552468,0.70859313,0.333623797,-0.083044879,RIGHT_THUMB_DOWN
2,cmario,0.697007895,0.383363843,-6.04e-07,0.664849877,0.48723653,-0.035628263,0.618961751,0.592474103,-0.059394062,0.592674792,0.680751801,-0.082354106,0.589506984,0.756150842,-0.098562226,0.535881758,0.519656003,-0.032719526,0.482293695,0.531609476,-0.06831187,0.546594143,0.509784937,-0.079752117,0.561824739,0.507275939,-0.08517018,0.523273885,0.439193726,-0.033208232,0.474693954,0.459377944,-0.074296303,0.547201753,0.449251801,-0.076372676,0.55479604,0.447960109,-0.072004326,0.521306932,0.362537086,-0.039683841,0.470626205,0.377934933,-0.078583486,0.537703097,0.376152158,-0.058620453,0.551875591,0.373581231,-0.0388081,0.525813937,0.293198884,-0.049393244,0.486603141,0.300964534,-0.06660638,0.536218643,0.31640029,-0.048291784,0.554820538,0.321769983,-0.032510459,RIGHT_THUMB_DOWN
3,cmario,0.654598117,0.315620303,-5.72e-07,0.63481611,0.407858461,-0.027657028,0.603340864,0.493064016,-0.048960347,0.575012624,0.570756316,-0.071700826,0.568883359,0.636426091,-0.088423885,0.504192114,0.438414723,-0.011728312,0.45702073,0.45152694,-0.046428356,0.513078213,0.43926245,-0.060940724,0.5383448,0.432697982,-0.06585829,0.492972136,0.37467283,-0.013098251,0.449484736,0.387598366,-0.050710771,0.51874727,0.378920972,-0.055616677,0.53167206,0.373813629,-0.050451975,0.490423292,0.311254501,-0.020784808,0.44918856,0.320391536,-0.053714056,0.510429323,0.319866389,-0.038093951,0.524612963,0.318051904,-0.019743817,0.494669139,0.250068814,-0.031253245,0.456287742,0.256685019,-0.042142272,0.500208735,0.268046737,-0.024499737,0.515846789,0.270375609,-0.007951034,RIGHT_THUMB_DOWN
4,cmario,0.689669251,0.368560344,-8.75e-07,0.66144985,0.469870538,-0.039543856,0.615976512,0.572608769,-0.065628469,0.578095019,0.651353717,-0.090348668,0.560998023,0.728198171,-0.111188516,0.470834941,0.514118969,-0.023421859,0.490796685,0.532424033,-0.075948514,0.551207483,0.51329869,-0.115226343,0.600787461,0.495025635,-0.133753389,0.450623423,0.433610767,-0.022627084,0.49453181,0.449177951,-0.071980506,0.569972873,0.438219577,-0.093999691,0.624900579,0.425250977,-0.098858707,0.455706567,0.35452038,-0.029342264,0.504041195,0.367059261,-0.077738173,0.579122066,0.3712008,-0.077049851,0.632098198,0.369332016,-0.06346716,0.476723284,0.279985517,-0.040079344,0.504573226,0.295684099,-0.069873266,0.561251998,0.314384282,-0.063409254,0.599598169,0.324840277,-0.049036976,RIGHT_THUMB_DOWN
5,cmario,0.589434087,0.288652241,-5.7e-07,0.555871487,0.394156009,-0.031718049,0.515108049,0.492669612,-0.055772901,0.477398485,0.57858032,-0.080852941,0.463836998,0.652529299,-0.099698722,0.413185298,0.411456674,-0.018510582,0.370882273,0.423174709,-0.053381331,0.424368918,0.40783757,-0.065591015,0.438211262,0.402241111,-0.070445061,0.402836978,0.337729543,-0.020211287,0.359352797,0.351359308,-0.06038228,0.430200189,0.344127446,-0.063689858,0.436059743,0.341614962,-0.058431491,0.402926415,0.26471892,-0.028191196,0.353506386,0.275714874,-0.065633371,0.42153427,0.276470959,-0.045839924,0.435842335,0.273710579,-0.024889011,0.412080348,0.196525395,-0.039289411,0.370806187,0.203041524,-0.054362573,0.41898793,0.218150288,-0.034861181,0.434335649,0.219391614,-0.01688274,RIGHT_THUMB_DOWN
6,cmario,0.719490051,0.287916362,-5.5e-07,0.684176624,0.387289256,-0.030097073,0.646066546,0.47678256,-0.048633993,0.611147761,0.557596087,-0.068175577,0.596214175,0.620098472,-0.0817459,0.538356006,0.419747174,0.003507744,0.493665636,0.424968421,-0.031597864,0.548198521,0.417389065,-0.052069034,0.574886024,0.40533489,-0.062924549,0.528004825,0.3427926,0.001281978,0.474281251,0.353338182,-0.041741244,0.550096691,0.35087055,-0.053761277,0.572854578,0.341627449,-0.05191325,0.534018755,0.272678107,-0.00854772,0.492082506,0.275220305,-0.046548832,0.555005908,0.283828944,-0.03287302,0.573467076,0.278380036,-0.014211053,0.549844801,0.199211448,-0.021546477,0.512937009,0.206939712,-0.03500184,0.557381094,0.224398762,-0.017492851,0.571645916,0.225640312,-0.000722174,RIGHT_THUMB_DOWN
7,cmario,0.65326327085495,0.3876937925815582,-5.04664683376177e-07,0.6223207116127014,0.469567596912384,-0.0201161857694387,0.5837275385856628,0.5397213697433472,-0.0364679098129272,0.5487098693847656,0.5976423025131226,-0.055580548942089,0.5291604399681091,0.6511844992637634,-0.0715965181589126,0.5181844830513,0.456013947725296,-0.0061090416274964,0.4821304976940155,0.4646845459938049,-0.0334832221269607,0.5257028937339783,0.4642541706562042,-0.0476953163743019,0.5464158058166504,0.4567831456661224,-0.0543179921805858,0.514157235622406,0.4010640382766723,-0.009344226680696,0.4792518317699432,0.4092186689376831,-0.0397517532110214,0.5334521532058716,0.4163393378257751,-0.0463021323084831,0.5477146506309509,0.4085171222686767,-0.0449591912329196,0.5174099206924438,0.3471835851669311,-0.0174059122800827,0.4782748520374298,0.3518467545509338,-0.0456933751702308,0.5286601185798645,0.3646578788757324,-0.0343792848289012,0.5459424257278442,0.3598291575908661,-0.0203985031694173,0.5269431471824646,0.2954012751579284,-0.0274487193673849,0.4885274171829223,0.2986341416835785,-0.0385781452059745,0.5240017175674438,0.3193382918834686,-0.0240732170641422,0.542012095451355,0.3203838467597961,-0.0103552406653761,RIGHT_THUMB_DOWN
8,aliviu,0.7951487302780151,0.2994270920753479,-3.697202828334412e-07,0.7689465880393982,0.4099535346031189,-0.0387322008609771,0.7437472343444824,0.5066079497337341,-0.074519045650959,0.7462418079376221,0.5883743762969971,-0.1080711781978607,0.748897135257721,0.6460545063018799,-0.1355788558721542,0.604763388633728,0.4232115745544433,-0.0540616996586322,0.6404495239257812,0.5143691897392273,-0.0990057364106178,0.6864117980003357,0.4807961881160736,-0.1239220947027206,0.6789191961288452,0.4496031403541565,-0.1391867101192474,0.5981137156486511,0.3667294383049011,-0.0560689345002174,0.6522390246391296,0.4594064652919769,-0.1035140007734298,0.7001202702522278,0.4349419772624969,-0.1124860569834709,0.6846499443054199,0.3998069167137146,-0.1147524267435073,0.616235613822937,0.3094584345817566,-0.0633050054311752,0.6580184102058411,0.3847043514251709,-0.1044363304972648,0.7039223909378052,0.3830444514751434,-0.0908164381980896,0.6940410733222961,0.3527203500270843,-0.0767222940921783,0.641940712928772,0.2591708898544311,-0.0751748010516166,0.6619064807891846,0.3024047017097473,-0.0976521372795105,0.6978341341018677,0.3236525654792785,-0.0877813622355461,0.7014095187187195,0.3078639507293701,-0.0768482089042663,RIGHT_THUMB_DOWN
9,aliviu,0.7957730889320374,0.3379475474357605,-5.253362473922607e-07,0.7792868614196777,0.423748642206192,-0.0378379039466381,0.7536851167678833,0.5112584233283997,-0.0654577687382698,0.7456441521644592,0.5851179361343384,-0.0895785093307495,0.7442616820335388,0.6417129039764404,-0.1081649214029312,0.6275026202201843,0.4335291087627411,-0.0378477461636066,0.666971743106842,0.4708915948867798,-0.0689369589090347,0.7076701521873474,0.4476431608200073,-0.087892860174179,0.704375147819519,0.4248667955398559,-0.1009156480431556,0.6150475740432739,0.3694253861904144,-0.0359089523553848,0.6718095541000366,0.4088401198387146,-0.0668613091111183,0.7136614918708801,0.3975213766098022,-0.0753548964858055,0.7052576541900635,0.3808823227882385,-0.0801018252968788,0.6248629689216614,0.3085232675075531,-0.0385612808167934,0.6756079196929932,0.3414595127105713,-0.066867209970951,0.7131054997444153,0.3444258570671081,-0.0593822225928306,0.7057268619537354,0.3340907096862793,-0.0522800050675869,0.6431588530540466,0.2520054578781128,-0.0459631122648716,0.6741012334823608,0.2682251632213592,-0.0609002076089382,0.7081259489059448,0.2872863709926605,-0.0537613034248352,0.7114331126213074,0.289951741695404,-0.0468023307621479,RIGHT_THUMB_DOWN
